time,seconds_elapsed,z,y,x
1748517865854248700,0.217248779296875,8.462427139282227,4.7028279304504395,1.562409520149231
1748517865873056800,0.236056884765625,8.398073196411133,4.8290228843688965,1.5242393016815186
1748517865891864800,0.25486474609375,8.39097785949707,4.8540802001953125,1.4831653833389282
1748517865910673000,0.2736728515625,8.374939918518066,4.869529724121094,1.522643804550171
1748517865929481000,0.29248095703125,8.356121063232422,4.878049373626709,1.5969550609588623
1748517865948289300,0.311289306640625,8.358110427856445,4.8669915199279785,1.6201146841049194
1748517865967097300,0.330097412109375,8.373490333557129,4.849514961242676,1.592874526977539
1748517865985905400,0.348905517578125,8.385417938232422,4.8370771408081055,1.567747712135315
1748517866004713700,0.367713623046875,8.388053894042969,4.836084842681885,1.5566699504852295
1748517866023521800,0.386521728515625,8.38658618927002,4.836883544921875,1.5620911121368408
1748517866042329900,0.405329833984375,8.381810188293457,4.8448166847229,1.5631381273269653
1748517866061138000,0.424137939453125,8.375204086303711,4.857625961303711,1.55878746509552
1748517866079946200,0.4429462890625,8.369755744934082,4.869172096252441,1.5520119667053223
1748517866098754300,0.46175439453125,8.370073318481445,4.872320175170898,1.5403794050216675
1748517866117562400,0.480562255859375,8.373929023742676,4.870587348937988,1.5248180627822876
1748517866136370400,0.499370361328125,8.371831893920898,4.875969409942627,1.5191220045089722
1748517866155178800,0.5181787109375,8.368121147155762,4.8780598640441895,1.5327948331832886
1748517866173986800,0.53698681640625,8.36992359161377,4.8731842041015625,1.5384541749954224
1748517866192795000,0.555794921875,8.376169204711914,4.867903709411621,1.5210827589035034
1748517866211603000,0.57460302734375,8.384777069091797,4.856919288635254,1.5087193250656128
1748517866230411300,0.593411376953125,8.392065048217773,4.843379020690918,1.5117247104644775
1748517866249219300,0.61221923828125,8.395463943481445,4.834875583648682,1.5200555324554443
1748517866268027400,0.63102734375,8.396759033203125,4.833587169647217,1.5169897079467773
1748517866286835700,0.649835693359375,8.396027565002441,4.839620113372803,1.5017260313034058
1748517866305643800,0.668643798828125,8.392912864685059,4.847115993499756,1.4949496984481812
1748517866324451800,0.687451904296875,8.388836860656738,4.85339879989624,1.4974417686462402
1748517866343260200,0.70626025390625,8.385644912719727,4.858780384063721,1.497861385345459
1748517866362068200,0.725068115234375,8.384407043457031,4.860886573791504,1.4979630708694458
1748517866380876300,0.743876220703125,8.38766098022461,4.8546977043151855,1.4998184442520142
1748517866399684600,0.7626845703125,8.395328521728516,4.841214656829834,1.5005006790161133
1748517866418492700,0.78149267578125,8.403273582458496,4.828371524810791,1.4974009990692139
1748517866437300700,0.80030078125,8.404656410217285,4.825954437255859,1.4974298477172852
1748517866456109000,0.819109130859375,8.39887523651123,4.837414741516113,1.4928847551345825
1748517866474917000,0.837917236328125,8.390863418579102,4.854762077331543,1.4815797805786133
1748517866493725200,0.85672509765625,8.385016441345215,4.868626117706299,1.4691407680511475
1748517866512533500,0.875533447265625,8.382293701171875,4.877237796783447,1.4560484886169434
