time,seconds_elapsed,z,y,x
1747237103776374300,0.036374267578125,0.1916952282190323,0.16121023893356323,0.0379745252430439
1747237103786405400,0.0464052734375,0.16482201218605042,0.19966422021389008,0.033705394715070724
1747237103796436200,0.056436279296875,0.15734173357486725,0.18227830529212952,0.016981277614831924
1747237103806467300,0.06646728515625,0.16096974909305573,0.11825750768184662,0.004190381150692701
1747237103816497400,0.076497314453125,0.17437849938869476,0.04370897263288498,0.006068442482501268
1747237103826528300,0.0865283203125,0.18690109252929688,0.010631905868649483,0.05230942368507385
1747237103836559400,0.096559326171875,0.19592946767807007,0.04255255311727524,0.12373620271682739
1747237103846590200,0.106590087890625,0.19726696610450745,0.06630401313304901,0.19596223533153534
1747237103856621300,0.116621337890625,0.16575857996940613,0.09505949169397354,0.2499154955148697
1747237103866652200,0.126652099609375,0.09500370919704437,0.05960056930780411,0.24534070491790771
1747237103876683300,0.136683349609375,0.011087240651249886,-0.057693302631378174,0.18835625052452087
1747237103886714000,0.146714111328125,-0.04694230854511261,-0.2134981006383896,0.12274610996246338
1747237103896745200,0.1567451171875,-0.0885842964053154,-0.3309410810470581,0.06233229860663414
1747237103906775300,0.166775390625,-0.11722318828105927,-0.37837523221969604,0.02228497341275215
1747237103916806100,0.17680615234375,-0.15176919102668762,-0.3598194122314453,-0.025938749313354492
1747237103926837200,0.186837158203125,-0.1880548894405365,-0.34252917766571045,-0.08319699764251709
1747237103936868000,0.1968681640625,-0.22362752258777618,-0.3824811279773712,-0.15035340189933777
1747237103946899500,0.2068994140625,-0.25782737135887146,-0.4984874129295349,-0.21872851252555847
1747237103956930300,0.216930419921875,-0.28151804208755493,-0.6356615424156189,-0.26525312662124634
1747237103966961400,0.22696142578125,-0.2930218577384949,-0.7575081586837769,-0.26724672317504883
1747237103976992300,0.2369921875,-0.2895680069923401,-0.8246477842330933,-0.216122567653656
1747237103987023400,0.2470234375,-0.26138970255851746,-0.7639604210853577,-0.1134561151266098
1747237103997053400,0.257053466796875,-0.215718075633049,-0.637596070766449,0.007789616007357836
1747237104007084300,0.267084228515625,-0.14824002981185913,-0.4810795783996582,0.12198728322982788
1747237104017115400,0.277115478515625,-0.12288433313369751,-0.31873619556427,0.22027285397052765
1747237104027146200,0.287146240234375,-0.16987355053424835,-0.23069308698177338,0.2852558493614197
1747237104037177300,0.29717724609375,-0.30793583393096924,-0.26446518301963806,0.2841149568557739
1747237104047208200,0.307208251953125,-0.4882622957229614,-0.40562769770622253,0.20922419428825378
1747237104057239300,0.3172392578125,-0.6555996537208557,-0.5080115795135498,0.05038713663816452
1747237104067270400,0.3272705078125,-0.764273464679718,-0.4831080138683319,-0.17448647320270538
1747237104077301200,0.33730126953125,-0.8186262249946594,-0.4535903334617615,-0.43816524744033813
1747237104087331300,0.347331298828125,-0.8381211757659912,-0.49168694019317627,-0.6966679096221924
1747237104097362200,0.357362060546875,-0.8423859477043152,-0.6907685995101929,-0.8893886208534241
1747237104107393300,0.367393310546875,-0.8439226150512695,-1.0058090686798096,-0.9795757532119751
1747237104117424000,0.377424072265625,-0.8597529530525208,-1.245244026184082,-0.9654653072357178
1747237104127455200,0.387455322265625,-0.8788484930992126,-1.2954963445663452,-0.8465122580528259
1747237104137486300,0.397486328125,-0.9414753913879395,-1.1311695575714111,-0.6646940112113953
1747237104147517200,0.40751708984375,-1.1049721240997314,-0.7520835399627686,-0.5090176463127136
1747237104157548500,0.417548583984375,-1.3340939283370972,-0.26709872484207153,-0.3894031047821045
1747237104167579400,0.427579345703125,-1.5988003015518188,0.1252596527338028,-0.2837197780609131
1747237104177609200,0.437609130859375,-1.8599328994750977,0.15244147181510925,-0.11671189218759537
1747237104187640300,0.447640380859375,-2.0639865398406982,-0.11688674241304398,0.14816369116306305
1747237104197671400,0.45767138671875,-2.1587061882019043,-0.331643283367157,0.45904940366744995
1747237104207702300,0.467702392578125,-2.1243157386779785,-0.27404463291168213,0.7514464259147644
1747237104217733400,0.4777333984375,-1.9660487174987793,-0.04595686122775078,1.0236284732818604
1747237104227764500,0.487764404296875,-1.7115426063537598,0.1436777263879776,1.2628014087677002
1747237104237795300,0.49779541015625,-1.464909553527832,0.1509164571762085,1.3988871574401855
1747237104247826400,0.507826416015625,-1.342437982559204,-0.05955786257982254,1.300927758216858
1747237104257857300,0.517857177734375,-1.3878192901611328,-0.4318792223930359,0.9868635535240173
1747237104267887400,0.527887451171875,-1.5688462257385254,-1.0346177816390991,0.541516125202179
1747237104277918500,0.53791845703125,-1.7491542100906372,-1.7328206300735474,0.08469714969396591
1747237104287949300,0.54794921875,-1.8076614141464233,-2.1666767597198486,-0.3180852234363556
1747237104297980400,0.55798046875,-1.6812821626663208,-2.2214841842651367,-0.6287573575973511
1747237104308011300,0.56801123046875,-1.402901291847229,-1.9215269088745117,-0.8630327582359314
1747237104318042400,0.57804248046875,-1.055144190788269,-1.3844826221466064,-1.0449199676513672
1747237104328073200,0.5880732421875,-0.794569730758667,-0.9079200625419617,-1.1893242597579956
1747237104338104300,0.598104248046875,-0.689002513885498,-0.7085323929786682,-1.2914148569107056
1747237104348135200,0.60813525390625,-0.6711034774780273,-0.7120935320854187,-1.3014174699783325
1747237104358166300,0.618166259765625,-0.612468421459198,-0.6363524198532104,-1.2154353857040405
1747237104368196400,0.6281962890625,-0.43447697162628174,-0.34262874722480774,-1.109631896018982
1747237104378227200,0.638227294921875,-0.1260317862033844,-0.061422914266586304,-1.0368695259094238
1747237104388258300,0.64825830078125,0.22071166336536407,0.19750820100307465,-0.9235357046127319
1747237104398289200,0.6582890625,0.2767522633075714,0.9974470138549805,-0.17145319283008575
1747237104408320300,0.6683203125,0.26779747009277344,1.2591090202331543,0.106490857899189
1747237104418351000,0.67835107421875,0.19021959602832794,1.5934404134750366,0.13104866445064545
1747237104428382200,0.68838232421875,0.24174922704696655,1.5894405841827393,-0.028321340680122375
1747237104438413000,0.6984130859375,0.42702773213386536,1.0367604494094849,-0.30406609177589417
1747237104448444200,0.708444091796875,0.6169410347938538,0.2140326350927353,-0.5451247096061707
1747237104458475000,0.71847509765625,0.7605637311935425,-0.42107000946998596,-0.7535266280174255
1747237104468505000,0.728505126953125,0.8753243088722229,-0.68888920545578,-0.9858505129814148
1747237104478536200,0.7385361328125,0.9943156838417053,-0.6372219920158386,-1.1265722513198853
1747237104488567000,0.748567138671875,1.1291799545288086,-0.4008994400501251,-1.0780398845672607
1747237104498598400,0.758598388671875,1.282323956489563,-0.07148587703704834,-0.8718805313110352
1747237104508629200,0.768629150390625,1.4873294830322266,0.32771816849708557,-0.5921472311019897
1747237104518660400,0.778660400390625,1.7232698202133179,0.7260924577713013,-0.2996535301208496
1747237104528691200,0.788691162109375,1.7929705381393433,1.0780142545700073,-0.013756017200648785
1747237104538722300,0.798722412109375,1.6660999059677124,1.1639543771743774,0.27122750878334045
1747237104548753200,0.808753173828125,1.3698686361312866,0.8540129065513611,0.6146220564842224
1747237104558784300,0.8187841796875,0.9623232483863831,0.608806312084198,1.0240780115127563
1747237104568814300,0.828814453125,0.5619742274284363,0.7877188920974731,1.4114735126495361
1747237104578845200,0.83884521484375,0.2580242156982422,1.121428370475769,1.837519884109497
1747237104588876300,0.848876220703125,0.06026333570480347,1.4407691955566406,2.279021739959717
1747237104598907100,0.8589072265625,-0.10940772294998169,1.8742377758026123,2.6701807975769043
1747237104608938200,0.868938232421875,-0.542926013469696,2.2037429809570312,3.0807926654815674
1747237104618969000,0.878968994140625,-1.0901910066604614,2.4929895401000977,3.3797383308410645
1747237104629000200,0.889000244140625,-1.6347564458847046,2.9475412368774414,3.4721932411193848
1747237104639031300,0.89903125,-2.1776692867279053,3.181149482727051,3.3791663646698
1747237104649062100,0.909062255859375,-2.7266204357147217,2.9302916526794434,2.952131509780884
1747237104659092200,0.91909228515625,-3.232428550720215,2.3011677265167236,2.2278833389282227
1747237104669123000,0.929123046875,-3.600224494934082,1.8847005367279053,1.5430645942687988
1747237104679154200,0.939154296875,-3.5022077560424805,1.370863676071167,1.065913438796997
1747237104689185000,0.94918505859375,-2.976560354232788,0.022639349102973938,0.5960955619812012
1747237104699216100,0.959216064453125,-2.322732448577881,-2.1736552715301514,-0.13815604150295258
1747237104709247200,0.969247314453125,-1.7775958776474,-3.989677667617798,-0.6638866662979126
1747237104719278300,0.9792783203125,-1.368533730506897,-4.517214298248291,-0.3496458828449249
1747237104729309400,0.989309326171875,-1.1935107707977295,-4.400404453277588,0.3329256474971771
1747237104739340300,0.99934033203125,-1.2512062788009644,-4.360491752624512,0.8537171483039856
1747237104749371400,1.009371337890625,-1.441502332687378,-4.760395526885986,0.879109263420105
1747237104759401200,1.019401123046875,-1.6826437711715698,-4.50313663482666,0.1930384784936905
1747237104769432300,1.029432373046875,-1.6625968217849731,-3.697265386581421,-0.0995502844452858
1747237104779463200,1.039463134765625,-1.41303551197052,-2.5510666370391846,-0.5044013857841492
1747237104789494300,1.049494384765625,-1.0448014736175537,-1.63689124584198,-0.7574149966239929
1747237104799525400,1.059525390625,-0.7957842350006104,-1.0377378463745117,-0.9863453507423401
1747237104809556200,1.06955615234375,-0.7103233337402344,-0.913262128829956,-1.2774275541305542
1747237104819587300,1.07958740234375,-0.6249136328697205,-1.3479667901992798,-1.68704092502594
1747237104829618200,1.0896181640625,-0.38043928146362305,-0.1008225828409195,-2.2605254650115967
1747237104839649300,1.099649169921875,0.011547403410077095,0.09990359097719193,-2.582765817642212
1747237104849680100,1.10968017578125,0.2768303155899048,-0.7706484794616699,-2.6313774585723877
1747237104859711200,1.119711181640625,0.4417652189731598,-1.2661209106445312,-2.628934621810913
1747237104869741300,1.1297412109375,0.4595867097377777,-1.4253631830215454,-2.4839086532592773
1747237104879772200,1.139772216796875,0.3822828531265259,-1.1416335105895996,-2.1411640644073486
1747237104889803300,1.14980322265625,0.3282698690891266,-0.7276836633682251,-1.7208740711212158
1747237104899834000,1.159834228515625,0.2598591148853302,-0.6864020228385925,-1.3260306119918823
