time,seconds_elapsed,z,y,x
1747237103755059200,0.01505908203125,-0.97918701171875,-0.2357940673828125,0.1514892578125
1747237103765090300,0.02509033203125,-0.9798736572265625,-0.2289581298828125,0.1420135498046875
1747237103775121200,0.03512109375,-0.9680938720703125,-0.2280120849609375,0.1392974853515625
1747237103785152300,0.04515234375,-0.9445037841796875,-0.2298736572265625,0.14276123046875
1747237103795183400,0.055183349609375,-0.924957275390625,-0.2333831787109375,0.1491241455078125
1747237103805214500,0.06521435546875,-0.9151153564453125,-0.2385406494140625,0.15838623046875
1747237103815244300,0.075244384765625,-0.9215240478515625,-0.243682861328125,0.1603546142578125
1747237103825275400,0.085275390625,-0.934967041015625,-0.2459716796875,0.163299560546875
1747237103835306500,0.095306396484375,-0.9485015869140625,-0.245513916015625,0.169158935546875
1747237103845337300,0.10533740234375,-0.9511566162109375,-0.2502288818359375,0.1799163818359375
1747237103855368400,0.115368408203125,-0.9471588134765625,-0.2561187744140625,0.1805572509765625
1747237103865399300,0.1253994140625,-0.922088623046875,-0.2621307373046875,0.16766357421875
1747237103875430400,0.135430419921875,-0.8877410888671875,-0.2610015869140625,0.160064697265625
1747237103885461200,0.145461181640625,-0.8663330078125,-0.265594482421875,0.1583709716796875
1747237103895492400,0.155492431640625,-0.863250732421875,-0.2733001708984375,0.1600799560546875
1747237103905522400,0.1655224609375,-0.8730010986328125,-0.2790069580078125,0.157135009765625
1747237103915553300,0.17555322265625,-0.88482666015625,-0.27435302734375,0.14752197265625
1747237103925584400,0.18558447265625,-0.8871307373046875,-0.2669830322265625,0.133544921875
1747237103935615200,0.195615234375,-0.880889892578125,-0.2571563720703125,0.129241943359375
1747237103945646300,0.205646240234375,-0.883941650390625,-0.24749755859375,0.1300201416015625
1747237103955677200,0.21567724609375,-0.9061737060546875,-0.2457427978515625,0.132781982421875
1747237103965708300,0.225708251953125,-0.9485015869140625,-0.2437896728515625,0.13916015625
1747237103975739100,0.2357392578125,-1.0051422119140625,-0.2354736328125,0.1391143798828125
1747237103985770200,0.245770263671875,-1.054473876953125,-0.2219696044921875,0.1277313232421875
1747237103995800300,0.25580029296875,-1.0693817138671875,-0.1992034912109375,0.1107025146484375
1747237104005831200,0.2658310546875,-1.056640625,-0.1719512939453125,0.0777435302734375
1747237104015862300,0.2758623046875,-1.02752685546875,-0.1507110595703125,0.05975341796875
1747237104025893000,0.28589306640625,-0.9967041015625,-0.1361236572265625,0.028076171875
1747237104035924200,0.29592431640625,-0.965057373046875,-0.152435302734375,-0.00390625
1747237104045955300,0.305955322265625,-0.9368743896484375,-0.199249267578125,-0.0025787353515625
1747237104055986400,0.315986328125,-0.931121826171875,-0.2543487548828125,0.0232086181640625
1747237104066017300,0.326017333984375,-0.93377685546875,-0.2958526611328125,0.03271484375
1747237104076048400,0.33604833984375,-0.920257568359375,-0.304901123046875,0.025909423828125
1747237104086078500,0.346078369140625,-0.8967742919921875,-0.2694549560546875,0.0014495849609375
1747237104096109300,0.356109375,-0.8779449462890625,-0.214141845703125,-0.0306243896484375
1747237104106140400,0.366140380859375,-0.885406494140625,-0.1575927734375,-0.039947509765625
