time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1751119140578417700,0.303417724609375,-0.9933881163597107,0.06749219447374344,0.0312536284327507,0.08745509386062622,0.07458718121051788,0.12898264825344086,2.9611520767211914
1751119140598330000,0.323330078125,-0.9925493001937866,0.07118304818868637,0.03588893264532089,0.09214726090431213,0.08524071425199509,0.13510185480117798,2.9506750106811523
1751119140608275200,0.333275146484375,-0.9925897121429443,0.07087798416614532,0.0360775925219059,0.091869056224823,0.08551889657974243,0.13448166847229004,2.9512460231781006
1751119140618220300,0.34322021484375,-0.9926580190658569,0.07038597017526627,0.03625447303056717,0.09143123030662537,0.08571426570415497,0.13350504636764526,2.952162027359009
1751119140628165400,0.353165283203125,-0.9927570819854736,0.06976544857025146,0.03625047206878662,0.09082192182540894,0.08549892157316208,0.13232140243053436,2.9534623622894287
1751119140638110500,0.3631103515625,-0.9928246736526489,0.06910543143749237,0.0359213687479496,0.09071362018585205,0.08469170331954956,0.13107706606388092,2.9537975788116455
1751119140648055600,0.3730556640625,-0.9928935766220093,0.06845506280660629,0.03530673310160637,0.09068721532821655,0.08332524448633194,0.12989844381809235,2.9540016651153564
1751119140658000600,0.383000732421875,-0.9929624795913696,0.06785757094621658,0.03448781371116638,0.09068790078163147,0.08156384527683258,0.12886111438274384,2.954169988632202
1751119140667945700,0.39294580078125,-0.9929722547531128,0.06736092269420624,0.033529579639434814,0.09129276871681213,0.07962183654308319,0.12800228595733643,2.953122854232788
1751119140677891000,0.40289111328125,-0.9929965734481812,0.06694269180297852,0.03256159648299217,0.09167852997779846,0.07764740288257599,0.1273210346698761,2.952509880065918
1751119140687836200,0.412836181640625,-0.9930152893066406,0.06660119444131851,0.03159724920988083,0.09205684065818787,0.07569462805986404,0.1267939805984497,2.951902389526367
1751119140697781200,0.42278125,-0.992975652217865,0.06632517278194427,0.03064155951142311,0.09298810362815857,0.07384281605482101,0.12635591626167297,2.9501688480377197
1751119140707726300,0.432726318359375,-0.9929341077804565,0.06604919582605362,0.029839131981134415,0.09387975931167603,0.07229255884885788,0.1258947104215622,2.948495626449585
1751119140717671400,0.44267138671875,-0.9929351806640625,0.06569686532020569,0.029238907620310783,0.09431391954421997,0.07107330113649368,0.12527762353420258,2.9477286338806152
1751119140727616500,0.452616455078125,-0.9929234981536865,0.0652087852358818,0.028781600296497345,0.09492021799087524,0.07013371586799622,0.12435097992420197,2.946607828140259
1751119140737561600,0.4625615234375,-0.9929096698760986,0.06452129781246185,0.028458336368203163,0.09562858939170837,0.06943316012620926,0.12299464643001556,2.945282459259033
1751119140747506700,0.472506591796875,-0.9929395914077759,0.06355814635753632,0.028203532099723816,0.09603601694107056,0.0687740221619606,0.12109744548797607,2.9445810317993164
1751119140757451800,0.48245166015625,-0.9929990768432617,0.062323927879333496,0.027970127761363983,0.09628862142562866,0.0680818185210228,0.1186671108007431,2.9442131519317627
1751119140767396900,0.49239697265625,-0.9930340051651001,0.06083541736006737,0.02773686684668064,0.09692314267158508,0.06738120317459106,0.11570458114147186,2.9430949687957764
1751119140777342000,0.502342041015625,-0.9930542707443237,0.059112824499607086,0.027493830770254135,0.09781217575073242,0.06663811951875687,0.11226167529821396,2.9414823055267334
1751119140787287000,0.512287109375,-0.9930859804153442,0.05719364434480667,0.027258917689323425,0.09865909814834595,0.06586036831140518,0.10843008011579514,2.9399683475494385
1751119140797232000,0.522232177734375,-0.9931244850158691,0.0551278293132782,0.02703620120882988,0.09947136044502258,0.06506723910570145,0.10430797934532166,2.938532590866089
1751119140807177200,0.53217724609375,-0.9931639432907104,0.05299567058682442,0.026880532503128052,0.10024654865264893,0.06438502669334412,0.10004422068595886,2.937166929244995
1751119140817122300,0.542122314453125,-0.9931989312171936,0.05090617015957832,0.026862185448408127,0.10096761584281921,0.06397579610347748,0.095842145383358,2.9358913898468018
1751119140827067400,0.5520673828125,-0.9932249784469604,0.04895131289958954,0.026985323056578636,0.10164004564285278,0.06386848539113998,0.09188298135995865,2.9346883296966553
1751119140837012700,0.5620126953125,-0.99323570728302,0.04721984267234802,0.027212101966142654,0.10230046510696411,0.06401049345731735,0.0883481353521347,2.9334816932678223
1751119140846957800,0.571957763671875,-0.9932254552841187,0.045775093138217926,0.027522273361682892,0.10299009084701538,0.06437915563583374,0.08536457270383835,2.9321863651275635
1751119140856903700,0.581903564453125,-0.9931884407997131,0.044601019471883774,0.027889017015695572,0.10378208756446838,0.06492410600185394,0.08290059864521027,2.9306585788726807
1751119140866848300,0.59184814453125,-0.9931190013885498,0.04367782175540924,0.028320971876382828,0.1047372817993164,0.06566343456506729,0.08091028034687042,2.9287772178649902
1751119140876792600,0.60179248046875,-0.9930154085159302,0.04296006262302399,0.028800880536437035,0.10589125752449036,0.06655579060316086,0.07930358499288559,2.9264748096466064
1751119140886737200,0.611737060546875,-0.9928781390190125,0.042402103543281555,0.02922513149678707,0.10728198289871216,0.06738773733377457,0.07800867408514023,2.923686981201172
1751119140896682000,0.621681884765625,-0.9927050471305847,0.04197385162115097,0.029515763744711876,0.10895365476608276,0.06800093501806259,0.0769796147942543,2.920332193374634
1751119140906627000,0.631626953125,-0.9924894571304321,0.0416637621819973,0.029611535370349884,0.11097180843353271,0.0682763159275055,0.07620333135128021,2.9162821769714355
1751119140916572400,0.641572509765625,-0.9922229647636414,0.041488442569971085,0.02948157675564289,0.11339089274406433,0.06816135346889496,0.07571801543235779,2.9114272594451904
1751119140926517800,0.651517822265625,-0.9919078946113586,0.0414736308157444,0.028991468250751495,0.11618742346763611,0.06739459931850433,0.0756111815571785,2.905820608139038
1751119140936463600,0.661463623046875,-0.9915602207183838,0.041603896766901016,0.027898486703634262,0.11926010251045227,0.06548476219177246,0.0759241133928299,2.8996856212615967
1751119140946409200,0.6714091796875,-0.9911947250366211,0.04185383766889572,0.026139795780181885,0.12247443199157715,0.0622943714261055,0.076642706990242,2.8933002948760986
1751119140956355000,0.68135498046875,-0.9908251762390137,0.04220921918749809,0.02381310984492302,0.12567946314811707,0.05800655856728554,0.07773654162883759,2.8869662284851074
1751119140966300400,0.691300537109375,-0.9904614090919495,0.0426148921251297,0.02101810835301876,0.12877970933914185,0.05280064046382904,0.0790858194231987,2.880876064300537
1751119140976245500,0.70124560546875,-0.9901059865951538,0.04297570139169693,0.01782284304499626,0.13175535202026367,0.04678608849644661,0.08049137890338898,2.8750743865966797
1751119140986190600,0.711190673828125,-0.9897574782371521,0.043156132102012634,0.014266702346503735,0.13463374972343445,0.04000573232769966,0.08167743682861328,2.8695120811462402
1751119140996135700,0.7211357421875,-0.9894067645072937,0.04308153688907623,0.010392988100647926,0.13747617602348328,0.03252749145030975,0.08248625695705414,2.8640635013580322
1751119141006080800,0.731080810546875,-0.9890462160110474,0.042752429842948914,0.006346384063363075,0.14031261205673218,0.024638228118419647,0.08288215845823288,2.8586530685424805
